タイトル,URL,サムネイルファイル名,作成物
[Neige Handicraft Club 5] We are currently recruiting members. Current members must also apply fo...,https://www.youtube.com/watch?v=v3NbrnDCt0Q,v3NbrnDCt0Q.jpg,
【ヴォーグ学園オンライン講座】3か月で作る「実用的リバティのバニティポーチ」裁断済みキットをお届け。募集締め切り直前の告知です。メイク用やお裁縫ポーチに　#287,https://www.youtube.com/watch?v=yk1ybLGYzTA,yk1ybLGYzTA.jpg,
【家庭用ミシンでも帆布は縫える５】内ポケットが同時に作れる！８号帆布の縦長トートバッグ｜SMLサイズ公開｜底まちの断ち方を丁寧に解説｜マリメッコ帆布生地使用 Howto #286,https://www.youtube.com/watch?v=L0P-SLP4aCc,L0P-SLP4aCc.jpg,
"【大塚屋 車道本店】""布の聖地""名古屋へ！布愛溢れる社長と一緒に巡る店内。ニット専門店「maffonショップ」にも訪問。Visit a craft store in Nagoya,　＃285",https://www.youtube.com/watch?v=nndWppAZPlY,nndWppAZPlY.jpg,
【20cmで作る布小物④】コロンと可愛い巾着ポーチとお洒落なパッチワーク布トレイ　How to make a  pouch & patchwork tray　#284,https://www.youtube.com/watch?v=En4gEJCPHwU,En4gEJCPHwU.jpg,
[Kit Introduction] Please check the kit contents and how to attach the matching mark before purch...,https://www.youtube.com/watch?v=dGBu4vC3iko,dGBu4vC3iko.jpg,
【20cmで作る布小物③】実用的でかわいい♪ミニ財布＆ショルダーストラップの作り方【初心者OK】How to make a mini wallet and strap　#282,https://www.youtube.com/watch?v=3DTGUBjujsQ,3DTGUBjujsQ.jpg,
[Fabric accessories made from 20cm ②] Three practical fabric accessories made from 20cm x 2 piece...,https://www.youtube.com/watch?v=a-Q_pzkw02A,a-Q_pzkw02A.jpg,
[Cloth accessories made from 20cm ①] Make two practical cloth accessories using two 20cm cut piec...,https://www.youtube.com/watch?v=Nqd9iQx3MVk,Nqd9iQx3MVk.jpg,
Size adjustment is OK! How to make a shoulder strap that looks the same but has a different metho...,https://www.youtube.com/watch?v=MZWQbKlXNn8,MZWQbKlXNn8.jpg,
うまく切れない人必見！ロータリーカッターの失敗しない使い方。おすすめ道具も紹介！How to use a rotary cutter　ライブ編集版#278,https://www.youtube.com/watch?v=CF8Zo8Hw2J8,CF8Zo8Hw2J8.jpg,
自宅で簡単に出来る！ズボンの裾上げを失敗ゼロで仕上げる裏技【ノーカット実演／片足5分】 Hemming Hack! How to Hem Pants Without Failing　＃276,https://www.youtube.com/watch?v=N1SlhF-E0Ok,N1SlhF-E0Ok.jpg,
【1日で完成】自分服から作る「ジグザグ縫いなし！」「脇縫いゼロ」の簡単ルームパンツの作り方　How to make room pants without side seams　＃275,https://www.youtube.com/watch?v=chJcEUkdmW4,chJcEUkdmW4.jpg,
【簡単ハンドメイド】2枚の布で作る三角バネポーチの作り方。ずれやすい脇もキレイに決まる！ライブ再編集ver.How to make a  pouch　#274,https://www.youtube.com/watch?v=8JbubY3Fl0I,8JbubY3Fl0I.jpg,
【はぎれ活用】12cmファスナーで作る小さなカーブポーチ。マリメッコ生地で簡単ハンドメイド！型紙なし（お皿）でも作れます　How to make a curved pouch　#273,https://www.youtube.com/watch?v=s3mED4rYdt4,s3mED4rYdt4.jpg,
【日本ホビーショー2025】会場の様子を4分でサクッとレポ！ハンドメイド＆クラフトの祭典 JAPAN HOBBY SHOW #272,https://www.youtube.com/watch?v=g165N7gGgvA,g165N7gGgvA.jpg,
【Prym Vario使い方基本編】穴あけ〜カシメつけ。縫い目を隠す仕立ての裏技。革で仕上がりもワンランクアップ！カシメサイズの選び方＃HOWTO　＃ハンドプレス　＃271,https://www.youtube.com/watch?v=y9QpEWs3dPw,y9QpEWs3dPw.jpg,
No need for a pattern! How to make a gathered dress #270,https://www.youtube.com/watch?v=qSU_vpuD1JY,qSU_vpuD1JY.jpg,
"[Celebrating 100,000 subscribers] How to make a ""Tetra-shaped zipper pouch"" from scraps. Announce...",https://www.youtube.com/watch?v=9ReKVSEqZUM,9ReKVSEqZUM.jpg,
【制作動画】布合わせを楽しむワイヤータイプの手作りリュック。いろんなポケットの付け方　Wire backpack making video ＃猪俣友紀の仕立てがきれいな大人バッグ＃266,https://www.youtube.com/watch?v=8Qe2GG_LDGY,8Qe2GG_LDGY.jpg,
Small pouch made from scraps #265,https://www.youtube.com/watch?v=gVkQS7xOgCI,gVkQS7xOgCI.jpg,
adult,https://www.youtube.com/watch?v=OKg3SDBQ33Q,OKg3SDBQ33Q.jpg,
神秘的な天空の城ラピュタの世界へ！ローマからCIVITAチヴィタへの行き方Italia solo trip【スイス・イタリア1人旅⑨ローマ３泊４日2024年10月】#263,https://www.youtube.com/watch?v=zJkXaUoybjA,zJkXaUoybjA.jpg,
ローマの人気観光地巡り、世界で一番小さいバチカン市国の美術館、トレビの泉では珍しい光景が見れました！Italia solo trip【スイス・イタリア1人旅⑧ローマ３泊４日2024年10月】 #261,https://www.youtube.com/watch?v=JDzyiMQGpvw,JDzyiMQGpvw.jpg,
フィレンツェ観光とウフィツィ美術館。ピサの斜塔へ日帰り旅！痛い罰金を払いました（自業自得） solo trip【スイス・イタリア1人旅⑦フィレンツェ２泊３日2024年10月】 #260,https://www.youtube.com/watch?v=BbExHLPUKvw,BbExHLPUKvw.jpg,
"""neige+ Collection Kaleidoscope"" New Release #257",https://www.youtube.com/watch?v=QZhlGRsbO8k,QZhlGRsbO8k.jpg,
まるで映画の世界！ベネチアの離島観光。ブラーノ島とムラーノ島　venice solo trip【スイス・イタリア1人旅⑥ベネチア３泊４日2024年9月 】 #258,https://www.youtube.com/watch?v=66GWB7s5qy8,66GWB7s5qy8.jpg,
【お知らせ】鎌倉スワニーコラボ生地「neige＋コレクションkaleidoscope」新発売！ヴォーグ学園オンライン講座課題作品紹介。生地取り扱い店舗は概要欄記載　#257,https://www.youtube.com/watch?v=EyD4_KD5o-4,EyD4_KD5o-4.jpg,
水の都ベネチアの絶景と聖地巡り、本場のパスタを満喫する贅沢時間　【スイス・イタリア1人旅⑤ベネチア３泊４日2024年9月28-29日 】venice solo trip ＃旅のvlog #256,https://www.youtube.com/watch?v=OJtZa9Zi-tE,OJtZa9Zi-tE.jpg,
手芸店巡りとミラノのドゥオーモを堪能。広場での詐欺には要注意！　Mirano solo trip　【スイス・イタリア1人旅④ミラノ２泊３日2024年9月26-28日】 #旅のvlog #255,https://www.youtube.com/watch?v=kaKQ6BGmdeY,kaKQ6BGmdeY.jpg,
チューリッヒの手芸店BERNINAベルニナミシンショップレポ。スイス鉄道でピラトゥス山へSwiss solo trip【スイス・イタリア1人旅③チューリッヒ3泊4日2024年9月 】 #253,https://www.youtube.com/watch?v=4pstLBJXvdo,4pstLBJXvdo.jpg,
物価高は想像以上！マッターホルンに感動！スイス鉄道乗り継ぎ電車の旅。Swiss solo trip　【スイス・イタリア1人旅②チューリッヒ3泊4日2024年9月24日 】#旅のvlog #252,https://www.youtube.com/watch?v=H7M1Niw1CiU,H7M1Niw1CiU.jpg,
ANA特典マイル旅。スイス航空ビジネスクラス搭乗記。贅沢な１人席で快適な空の旅。東京/成田-チューリッヒ Swissair report【スイス・イタリア１人旅①2024年9月23日】 #251,https://www.youtube.com/watch?v=TEdnBwaa2vE,TEdnBwaa2vE.jpg,
【ハンドメイド】marimekkoマリメッコの帆布生地でトートバッグづくり。Making tote bags #250,https://www.youtube.com/watch?v=cSmeGS6O4Vc,cSmeGS6O4Vc.jpg,
【ハンドメイド】底切り替えの仕立てのいいファーバッグの作り方。内側は仕切りポケット付き！マチも大きくたっぷり入ります。How to make a tote bag #249　資材購入先は概要欄記載,https://www.youtube.com/watch?v=YioZNlf4Jr4,YioZNlf4Jr4.jpg,
【ハンドメイド】マチ付きボディバッグの作り方『ミラクルハンドメイド定規BOOK⑩』How to make a body bag　#248,https://www.youtube.com/watch?v=CzdXV3jznr0,CzdXV3jznr0.jpg,
【ハンドメイド】便利なファスナーポケット付き！スマホポシェットの作り方『ミラクルハンドメイド定規BOOK⑨』｜How to make a  pochette　#247,https://www.youtube.com/watch?v=3-K5rrbvyg4,3-K5rrbvyg4.jpg,
【縫わずに端切れ活用】リバティの小さなかけらで１００均の布カレンダーをオシャレにリメイク　How to　#246,https://www.youtube.com/watch?v=z5o_mg2LoMg,z5o_mg2LoMg.jpg,
【保存版】ファスナー付けの基本はこれでマスター！内ポケット付きで手芸道具もすっきり収納『ミラクルハンドメイド定規BOOK⑧』スケールケース  How to make a scale case　#245,https://www.youtube.com/watch?v=YL5y9up9fMY,YL5y9up9fMY.jpg,
４枚の端切れで布合わせ！大人可愛い「レター型ポーチ」デコレクションズさんとのコラボ企画！端切れセットのおまけレシピのご紹介　Collaboration recipe ＃244,https://www.youtube.com/watch?v=acmIM8Uw1wQ,acmIM8Uw1wQ.jpg,
普段使いにピッタリ！定番人気の”グラニーバッグ”の作り方。お散歩サイズで500mlペットボトルもスッポリ『ミラクルハンドメイド定規BOOK⑦』How to make a bag #243,https://www.youtube.com/watch?v=ZakHBvNI7-s,ZakHBvNI7-s.jpg,
【保存版】工具不要で超簡単！「ワンタッチプラホック」の付け方。金属のバネホックと比較してみました　How to attach plastic hooks #242,https://www.youtube.com/watch?v=UzQEXuG2K64,UzQEXuG2K64.jpg,
【ハンドメイド】ヌビキルトでトランク風タブレットケースの作り方。Ipadに便利なペンホルダー付『ミラクルハンドメイド定規BOOK⑥』How to make an iPad case #241,https://www.youtube.com/watch?v=r-avJ2bmeAE,r-avJ2bmeAE.jpg,
【ハンドメイド】くびれがオシャレなポーチの作り方。スマホポシェットにもお勧め『ミラクルハンドメイド定規BOOK⑤』How to make a slim pouch using a ruler　#240,https://www.youtube.com/watch?v=o_jXBm4Hwho,o_jXBm4Hwho.jpg,
【ハンドメイド】シンプルだけどスタイリッシュなA4フラットトートの作り方。内ポケット付『ミラクルハンドメイド定規BOOK④』How to make a stylish tote bag #238,https://www.youtube.com/watch?v=2CyTQKEwBIY,2CyTQKEwBIY.jpg,
【JUKI MO3000】ロックミシンだけで”いちご泥棒”の簡単手作りカーテン。巻きロック、３本ロックの使い方。メンバーシップ募集のお知らせ　Easy handmade curtains  #237,https://www.youtube.com/watch?v=9zBM19PEneA,9zBM19PEneA.jpg,
余り布で作れる「フリルが可愛いまあるい巾着ポーチ」ハンドメイド初心者でも手縫いでも作れます『ミラクルハンドメイド定規BOOK③』How to make a drawstring pouch #236,https://www.youtube.com/watch?v=99Zf523Vbis,99Zf523Vbis.jpg,
【端切れ活用】小さなハギレで作る”まあるいパッチワークコースター＆ポットマット”『ミラクルハンドメイド定規BOOK②』｜How to make a patchwork coaster #234,https://www.youtube.com/watch?v=cURoDAab-SM,cURoDAab-SM.jpg,
簡単で可愛い！『ミラクルハンドメイド定規BOOK①』のICカードホルダーを作ろう。角を出す時のコツ｜How to make a card case #233,https://www.youtube.com/watch?v=F70Mv79voso,F70Mv79voso.jpg,
【端切れ活用】ファスナー口保冷バッグの作り方｜布合わせ、ファスナー縫い方のコツ｜How to make a zippered bag＃232,https://www.youtube.com/watch?v=QbUaEw0ABrM,QbUaEw0ABrM.jpg,
日暮里繊維街で必ず立ち寄るおすすめ店紹介。資材選びのポイント、布好き必見の生地天国　Introduction to Nippori Textile Town | vlog＃231,https://www.youtube.com/watch?v=9LV71uHOvKo,9LV71uHOvKo.jpg,
大人気手芸店「鎌倉SWANYスワニー本店」オシャレな店内の様子をたっぷりお届け！＆鎌倉駅周辺散策Popular handicraft store report in Kamakura｜vlog＃230,https://www.youtube.com/watch?v=oO35Ncd3XRE,oO35Ncd3XRE.jpg,
【初期メンバー限定公開】家庭用ミシンで作れる「帆布２WAYショルダーバッグ」すてきに作れるバッグのきほん掲載作品｜Online course on canvas shoulder bags,https://www.youtube.com/watch?v=ppbXZtz8544,ppbXZtz8544.jpg,
新刊「ミラクルハンドメイド定規BOOK」掲載作品と本に隠れた裏技を大公開」＆YouTuberメンバーシップのお話。New book introduction Instagram Live #229,https://www.youtube.com/watch?v=RO5_hJBYnmg,RO5_hJBYnmg.jpg,
おしゃれで機能的！NHKすてきにハンドメイド5月号『ラウンドリュック』の製作過程を紹介｜ Process of a round backpack #228,https://www.youtube.com/watch?v=QO22neoFOvs,QO22neoFOvs.jpg,
マリメッコ生地１mで作れる簡単ギャザースカート。着丈の測り方、脇ポケットの付け方も丁寧に解説。好みの着丈で作れます｜How to make a marimekko skirt　#227,https://www.youtube.com/watch?v=zuLnAvJm2jY,zuLnAvJm2jY.jpg,
【自分サイズで出来る】直線縫いでとっても簡単「ガーゼのボレロ」の作り方。冷房対策にお勧めショール。手縫いでも作れます。余り布の使い切りアイデア。How to make a bolero　#226,https://www.youtube.com/watch?v=6IjZU_PTZJo,6IjZU_PTZJo.jpg,
