タイトル,URL,サムネイルファイル名,作成物
"The dividers make it neat! You can put in a plastic bottle vertically or horizontally, and a long...",https://www.youtube.com/watch?v=DOoR0HHDyl0,DOoR0HHDyl0.jpg,
"If you remember this, you won't have any problems 😆 How to make a simple book cover without a pat...",https://www.youtube.com/watch?v=Rk8ILFhyfx8,Rk8ILFhyfx8.jpg,
A long wallet and a plastic bottle can fit sideways! The pockets are easy to place. How to make a...,https://www.youtube.com/watch?v=t68TRkG-0_8,t68TRkG-0_8.jpg,
Very useful when you have clothes without pockets! You can get a zipper at a 100 yen shop😆 How to...,https://www.youtube.com/watch?v=Yzy9ITuNPZY,Yzy9ITuNPZY.jpg,
"A look that makes the most of scraps❤️ I used a total of 10 different fabrics, including the plai...",https://www.youtube.com/watch?v=mTAVgKbIquQ,mTAVgKbIquQ.jpg,
Unexpected is OK! How to make a perfect pouch with a lid by folding and sewing | Learn sewing fro...,https://www.youtube.com/watch?v=NTFRmnatAjY,NTFRmnatAjY.jpg,
"How to make a patchwork-style glasses case using ""long, thin, or small"" scraps | Sewing together ...",https://www.youtube.com/watch?v=Si_M1zrFyy4,Si_M1zrFyy4.jpg,
Just add one more thing❣️ How to make a cute pouch that you can attach to your bag👝 It might be e...,https://www.youtube.com/watch?v=M5qgrcPPkqM,M5qgrcPPkqM.jpg,
小さなはぎれ再生😳　はぎれがアートになる！　縦長巾着ポーチの作り方　✅普通のジグザグミシンの設定変更で刺繍風の仕上げができるんです🧵fabric scraps  布くず活用,https://www.youtube.com/watch?v=HRYMNvi6e4Q,HRYMNvi6e4Q.jpg,
"[For beginners, no pattern required] Recipe arrangement from a popular artist's book on fabric ac...",https://www.youtube.com/watch?v=fuaVqYP2QAA,fuaVqYP2QAA.jpg,
"Small scraps sewn together make it stand out😍 It looks like Tetris and patchwork, but it's not! H...",https://www.youtube.com/watch?v=4gKO3AQG1fM,4gKO3AQG1fM.jpg,
[Quick and neat finish] Make a difference with ingenious sewing techniques 😳 How to make an A5 si...,https://www.youtube.com/watch?v=qLjfptqbcIg,qLjfptqbcIg.jpg,
It may be easier than the one in the magazine 😳 You can make it with just fabric! How to make a m...,https://www.youtube.com/watch?v=8_sDoLDCkYo,8_sDoLDCkYo.jpg,
Ordinary but cute,https://www.youtube.com/watch?v=0Fm2uhjp1Y4,0Fm2uhjp1Y4.jpg,
ふんわりいい感じに閉まってる😁　スマホとお財布だけサイズ　ひらひらシルエットがポイント🫶　簡単ミニトートバッグの作り方　返し口なし？！　初心者さんOK🔰　tote bag tutorial,https://www.youtube.com/watch?v=DSZJgtvlrp0,DSZJgtvlrp0.jpg,
ペットボトルサイズのサイドポケットがきいてる！　シンプルトートバッグの作り方　リバーシブルOK  簡単なので初心者さん向け🔰　tote bag tutorial  ポケットなしならごく普通,https://www.youtube.com/watch?v=B5GOON0NGQ8,B5GOON0NGQ8.jpg,
ふっくらかわいすぎるシルエット😍　マチあり小さめポーチ作り方【アレンジふた付きもOK】　sewing tutorial   12cmファスナー使用　コンパクトで小物入れに最適🙌,https://www.youtube.com/watch?v=zXok-r08lMY,zXok-r08lMY.jpg,
太めがポイント😍　簡単にできて大人っぽい　くったりシルエットトートバッグの作り方　tote bag tutorial  裏地付きレッスンバッグアレンジでこんなになります😄　初心者さん向け🔰,https://www.youtube.com/watch?v=NRqStb-6jYM,NRqStb-6jYM.jpg,
今風ならボックスポーチもこのサイズ🙋‍♀️  売れる仕上がりに大満足🙌　マルチポーチの作り方　コスメやペンケースにも！zipper pouch sewing ファスナー初心者さんみてね🔰,https://www.youtube.com/watch?v=pD-GCjoTAPA,pD-GCjoTAPA.jpg,
普通でもかわいい！　手のひらサイズです😄　ミニ巾着ポーチ（裏地付き）の作り方　sewing tutorial 【初心者さん向け】小さ過ぎず練習にもオススメ　プチプレゼントにも🎁　はぎれ活用,https://www.youtube.com/watch?v=Z05wKy_9gAU,Z05wKy_9gAU.jpg,
必死さゼロでかわいいは作れる🎵　トートバッグの作り方　tote bag sewing  肩かけギリギリOK 【初心者さん必見🔰少ないレシピで楽しもう】　大人かわいいアレンジポイントも紹介📕,https://www.youtube.com/watch?v=NmjIprWttWg,NmjIprWttWg.jpg,
きゅん度高め🫶　量産しやすい工夫あり🩷　ふっくらマルチポーチの作り方　初心者さんでもダーツマチにチャレンジしてみてね🔰　sewing tutorial   バッグにつけられます　打ち具不要ボタン使用,https://www.youtube.com/watch?v=dFspRR0fm4M,dFspRR0fm4M.jpg,
自信作❣️雑貨屋さんにあるみたい😍　バッグにもつけられるよさ！　ポケットティッシュケースの作り方　たくさん作れる簡単さです🔰　sewing diy プレゼントにも🎁　穴は四角が作りやすいです！,https://www.youtube.com/watch?v=GPmuqO2nrQo,GPmuqO2nrQo.jpg,
最後３㎝の不思議🫢　トートバッグの作り方（ダーツ入り）　初心者さんもみてね🔰　tote bag sewing  カットしないからたっぷり入る小ぶりサイズ,https://www.youtube.com/watch?v=9XWZBKUUI5g,9XWZBKUUI5g.jpg,
短時間で完成だから作り直したとしても楽😅　ファスナー好きさんトライしてみてね！　スクエアからキューブに２回目で成功👀　ミニミニポーチ作り方　【初心者さん向け🔰】zipper pouchファスナー１０㎝,https://www.youtube.com/watch?v=cUkC7rGuAgk,cUkC7rGuAgk.jpg,
ドキドキしない工夫で簡単に作れる‼️ 丸底トートバッグの作り方　｜型紙はもちろん無料🙋‍♀️ 初心者さん向け別マチタイプ　tote bag sewing,https://www.youtube.com/watch?v=xJ6s0O_z7XI,xJ6s0O_z7XI.jpg,
とにかく楽に❣️  ハギレで簡単＆きれい仕上がりの秘密は🤫　マルチポーチの作り方　※はぎれ以外でもOK！　sewingtips  折れるカッター板もみてね　バイアスなしで端まできれい😍,https://www.youtube.com/watch?v=lH9Eg-HL_vs,lH9Eg-HL_vs.jpg,
